18	R	2654
18	E	2661
15	J	2661
15	R	2661
19	N	2662
19	J	2663
15	W	2663
19	R	2663
19	E	2697
15	J	2697
15	R	2697
15	E	2698
4	J	2698
4	R	2698
20	N	2698
20	J	2699
4	W	2699
20	R	2699
4	J	2700
20	E	2700
4	R	2700
4	W	2701
0	R	2701
4	J	2805
4	R	2805
21	N	2805
21	J	2805
4	W	2806
21	R	2806
4	J	2807
21	E	2807
4	R	2807
4	W	2807
0	R	2807
4	J	2810
4	R	2810
4	W	2810
0	R	2810
4	J	2830
4	R	2830
22	N	2830
22	J	2831
4	W	2831
22	R	2831
4	J	2832
22	E	2832
4	R	2832
4	W	2832
0	R	2832
4	J	2837
4	R	2837
4	W	2837
0	R	2837
4	J	2857
4	R	2857
23	N	2857
23	J	2857
4	W	2858
23	R	2858
4	J	2859
23	E	2859
4	R	2859
4	W	2859
0	R	2859
4	J	2860
4	R	2860
4	W	2860
0	R	2860
4	J	3043
4	R	3043
4	W	3043
0	R	3043
4	J	3053
4	R	3053
4	W	3053
0	R	3053
4	J	3053
4	R	3053
4	W	3053
0	R	3053
4	J	3064
4	R	3064
4	W	3064
0	R	3064
4	J	3088
4	R	3088
24	N	3089
24	J	3089
4	W	3089
24	R	3089
24	E	3091
4	J	3091
4	R	3091
25	N	3091
25	J	3092
4	W	3092
25	R	3092
4	J	3093
25	E	3093
4	R	3093
4	W	3094
0	R	3094
4	J	3099
4	R	3099
4	W	3099
0	R	3099
4	J	3115
4	R	3115
26	N	3115
26	J	3115
4	W	3116
26	R	3116
4	J	3117
26	E	3117
4	R	3117
4	W	3117
0	R	3117
4	J	3122
4	R	3122
4	W	3122
0	R	3122
4	J	3182
4	R	3182
27	N	3183
27	J	3183
4	W	3183
27	R	3183
4	J	3184
27	E	3184
4	R	3184
4	W	3185
0	R	3185
4	J	3195
4	R	3195
4	W	3195
0	R	3195
4	J	3249
4	R	3249
4	W	3249
0	R	3249
4	J	3260
4	R	3260
4	W	3260
0	R	3260
4	J	3261
4	R	3261
4	W	3261
0	R	3261
4	J	3270
4	R	3270
4	W	3270
0	R	3270
4	J	3382
4	R	3382
4	W	3382
0	R	3382
4	J	3395
4	R	3395
4	W	3395
0	R	3395
4	J	3443
4	R	3443
4	W	3443
0	R	3443
4	J	3460
4	R	3460
4	W	3460
0	R	3460
4	J	3534
4	R	3534
28	N	3534
28	J	3535
4	W	3535
28	R	3535
